stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
141979,60765,Bruchési / No 9444,45.570568,-73.638008,2
141989,60766,Irène-Joly / No 9400,45.572633,-73.636788,2
141990,60767,14e Avenue / No 8383,45.567591,-73.613380,2
142000,60768,13e Avenue / No 8475,45.567946,-73.615662,2
142010,60769,19e Avenue / No 1505,45.570981,-73.606525,2
142029,60770,Pie-IX / No 8200,45.571729,-73.604744,2
142038,60771,Station Saint-Michel,45.559717,-73.599689,1
142049,60772,Saint-Michel / No 7070,45.558331,-73.597461,2
142051,60773,8e Avenue / Jean-Talon,45.556745,-73.599109,2
142102,60780,de l'Assomption / des Sapins,45.573394,-73.559536,2
142122,60782,Station Viau,45.560602,-73.547361,2
142137,60783,Rachel / De Chambly,45.549387,-73.558243,2
142157,60785,du Mont-Royal / Moïse-Picard,45.550189,-73.563711,2
142176,60787,Lafond / Laurier,45.552234,-73.570307,2
142186,60788,8e Avenue / Dandurand,45.550225,-73.577521,2
142197,60789,Rosemont / 8e Avenue,45.551342,-73.582142,2
142201,60790,6e Avenue / 5e Avenue,45.551648,-73.586519,2
142235,60793,Beaubien / 21e Avenue,45.561504,-73.580535,2
142273,60797,de l'Acadie / De Salaberry,45.540885,-73.696431,1
142290,60801,Berri / No 417 (Éloize),45.511420,-73.551510,1
142300,60802,Rivière-des-Prairies / 3e Rue,45.657619,-73.568556,1
142330,60805,9e Avenue / No 7290,45.558234,-73.600772,2
142340,60806,9e Avenue / No 7290,45.558216,-73.600731,2
142352,60844,Station Joliette (Hochelaga / Joliette),45.546550,-73.551715,1
142360,60845,Saint-Michel / No 8129,45.564825,-73.611595,2
142374,60846,Jarry / Shelley,45.564090,-73.609175,2
142414,60868,de la Commune / Bonneau,45.510595,-73.550174,1
142444,60887,Chabanel / Saint-Laurent,45.544160,-73.651108,1
142450,60893,Marie-Victorin / Marie-Victorin,45.616243,-73.604964,2
142470,60895,Marie-Victorin / No 7250,45.617945,-73.603883,2
142485,60896,Maurice-Duplessis / Fernand-Gauthier,45.627241,-73.595157,2
