SRIDU;F;M;total;mtmx;mtmy;lng;lat;superficie
4620194.00;14.33;132.66;146.99;301850.8;5052337.9;-73.53781146;45.61093645;1.19
4620195.01;36.52;16.47;52.99;299496.5;5048788.2;-73.56795804;45.57898104;0.54
4620195.02;25.66;108.06;133.72;300012.3;5049440.8;-73.56135556;45.58485755;0.6
4620195.03;19.32;0;19.32;299979.8;5050008;-73.56177721;45.58996082;0.9
4620196.00;43.59;145.23;188.82;299560.9;5048009.7;-73.56712407;45.57197646;0.4
4620197.00;78.83;146.71;225.54;298828.2;5048287;-73.57651555;45.57446604;0.6
4620198.00;32.3;95.98;128.28;298708.4;5047669.2;-73.57804208;45.56890606;0.64
4620199.00;57.11;115.57;172.68;298917.8;5047053.1;-73.57535261;45.56336364;0.23
4620200.00;46.59;89.83;136.42;298312.8;5047332.2;-73.58310621;45.5658699;0.31
4620201.00;137.59;467.03;604.62;298333.2;5046623.6;-73.58283495;45.55949364;0.93
4620202.00;109.53;284.39;393.92;297930.5;5046055.8;-73.58798608;45.55438022;0.61
4620203.00;149.6;225.48;375.08;297521.9;5045806.5;-73.59321628;45.55213367;0.24
4620204.00;120.35;247.83;368.18;298032.6;5045508.4;-73.58667029;45.54945561;0.23
4620205.00;399.64;311.63;711.27;297756.8;5045167.8;-73.59019741;45.54638811;0.18
4620206.00;69.33;153.62;222.95;297263.9;5045476.9;-73.59651536;45.54916454;0.23
4620207.00;117.69;341.98;459.67;297076.9;5045211.1;-73.59890574;45.54677091;0.26
4620208.00;238.65;150.33;388.98;297563;5044850.5;-73.5926754;45.54353102;0.2
4620209.00;360.34;691.95;1052.29;297224.9;5044625.8;-73.59700131;45.54150541;0.66
4620210.00;207.56;227.15;434.71;297404.9;5043883.3;-73.59468485;45.53482624;0.33
4620211.00;206.86;282.46;489.32;297015.2;5044191.5;-73.59967946;45.5375957;0.18
4620212.00;212.89;356.5;569.39;296769.6;5044356.3;-73.60282755;45.53907571;0.19
4620213.00;211.58;144.86;356.44;296511.9;5044532.4;-73.60613015;45.54065736;0.19
4620214.00;297.26;267.21;564.47;296149.3;5044248.6;-73.61076848;45.53809899;0.26
4620215.00;180.12;251.94;432.06;297117.2;5043617.5;-73.59836452;45.53243171;0.23
4620216.00;293.16;451.65;744.81;296784.6;5043350.6;-73.60261857;45.53002595;0.32
4620217.00;354.77;475.04;829.81;296304.6;5043651.1;-73.60876868;45.532724;0.16
4620218.00;759.7;337.03;1096.73;295897.5;5043911.4;-73.61398582;45.53506116;0.28
4620219.00;195.12;205.05;400.17;296019.7;5043419.1;-73.61241257;45.53063303;0.32
4620220.00;306.11;209.13;515.24;295276.9;5043275.2;-73.62192018;45.52932822;0.41
4620221.00;122.49;220.91;343.4;294973.2;5042877.7;-73.62580029;45.52574789;0.33
4620222.00;0;13.1;13.1;294325;5043125.4;-73.63410283;45.52796697;0.2
4620223.01;0;40.41;40.41;293373.5;5043478.2;-73.64629304;45.53112691;0.15
4620224.00;47.53;17.34;64.87;294201.1;5043618.5;-73.63570014;45.53240234;0.38
