terminalNa,stop_id,mtmx,mtmy,capacity,SRIDU,lat,lng,name
6260,256,298060.08,5044300.70,19,4620179.00,45.538589,-73.586302,Dandurand/Papineau
6261,257,297922.81,5044966.64,19,4620205.00,45.54458,-73.588069,Louis Hémon / Rosemont
6262,258,297155.38,5044147.60,1,4620211.00,45.537202,-73.597884,de la Roche /  Bellechasse
6263,259,294901.17,5036838.13,15,4620102.00,45.4714,-73.6266,Hampton/Monkland
6264,260,297606.24,5044758.07,15,4620208.00,45.5427,-73.59212,Chabot / Bellechasse
6265,261,298760.21,5044374.45,19,4620178.00,45.539259,-73.577338,Parthenais / Laurier
6266,262,297563.26,5045410.46,19,4620206.00,45.54857,-73.59268,Louis-Hébert / Beaubien
6267,263,297389.41,5044986.14,2,4620208.00,45.54475,-73.5949,de Bordeaux / Beaubien
6268,264,297012.68,5044454.72,19,4620212.00,45.539964,-73.599716,Chambord / Beaubien
6269,265,296690.74,5044551.37,7,4620213.00,45.54083,-73.60384,de Normanville / Saint-Zotique
6270,266,296914.31,5044852.36,19,4620209.00,45.543541,-73.600982,Fabre / Saint-Zotique
6271,267,296659.97,5043347.08,23,4620216.00,45.529993,-73.604214,Casgrain / de Bellechasse
6272,268,297113.07,5045183.84,15,4620207.00,45.546526,-73.598442,Bordeaux / Saint-Zotique
6273,269,296787.20,5045230.15,19,4620207.00,45.546939,-73.602616,Cartier / Bélanger
6274,270,298262.82,5043475.34,19,4620174.00,45.531164,-73.583695,De la Roche/St-Joseph
6275,271,296174.53,5044996.36,2,4620244.00,45.544828,-73.610458,Chambord / Jean-Talon
6276,272,296476.71,5044801.36,15,4620247.00,45.543077,-73.606585,Chambord / Bélanger
6277,293,297496.69,5045241.62,15,4620206.00,45.54705,-73.59353,Louis-Hémon / Beaubien
6278,273,297322.96,5045570.77,11,4620206.00,45.55001,-73.59576,Louis-Hébert / Saint-Zotique
6279,274,297081.73,5045731.87,15,4620206.00,45.551457,-73.598852,Louis-Hébert / Bélanger
6280,294,297452.46,5042747.99,15,4620171.00,45.524611,-73.594059,Fairmount/St-Dominique
6281,437,298115.83,5043189.00,15,4620159.00,45.528586,-73.585573,St-André/St-Joseph
6301,389,296733.51,5042038.08,15,4620362.00,45.518215,-73.603251,Parc Outremont (Bloomfield / Elmwood)
6302,390,296496.44,5041713.33,15,4620360.00,45.51529,-73.60628,Stuart / Côte-Ste-Catherine
6303,391,295449.29,5041672.02,11,4620366.00,45.514905,-73.619682,Dunlop / Van Horne
6304,392,295815.90,5041750.61,15,4620362.00,45.515617,-73.614991,Rockland / Lajoie
6305,393,296137.60,5041612.58,15,4620362.00,45.514379,-73.610871,Davaar / Côte-Sainte-Catherine
6306,394,296093.35,5041135.56,38,4620360.00,45.510086,-73.611429,Mont-Royal / Vincent-D'Indy
6307,309,298592.14,5042236.34,0,4620136.00,45.520018,-73.579463,Laval/Rachel
6309,311,299178.42,5035126.89,23,4620307.00,45.456049,-73.571877,5e ave/Verdun
6310,312,295327.94,5040628.57,31,4620126.00,45.505514,-73.621215,Darlington / Côte-Sainte-Catherine
6311,315,296244.22,5043881.29,19,4620218.00,45.534795,-73.609546,Drolet/St-Zotique
6312,314,294393.67,5040161.97,23,4620122.00,45.501302,-73.633161,Kent / Côte-Des-Neiges
6313,313,297774.66,5036712.35,19,4620083.00,45.470303,-73.589848,Palm/St-Remi
6314,316,298959.18,5043258.50,19,4620146.00,45.529219,-73.574777,De Lanaudiere/Marie-Anne
