idFeuillet;idPersonne;mtmx;mtmy;SRDOMI;nbPersLogi;facteurPersonne;facteurLogement;age;permis;statut;sexe;SRIDU
192154;192154 1;295264;5042976;4620221;4;16.19;18.42;65;1;4;1;4620221.00
192154;192154 2;295264;5042976;4620221;4;17.55;18.42;55;2;7;2;4620221.00
192154;192154 3;295264;5042976;4620221;4;20.35;18.42;35;1;1;1;4620221.00
192154;192154 4;295264;5042976;4620221;4;16.79;18.42;30;1;1;1;4620221.00
192209;192209 1;295595;5036324;4620097.01;3;19.04;20.34;48;2;1;2;4620097.01
192209;192209 2;295595;5036324;4620097.01;3;13.36;20.34;60;1;1;1;4620097.01
192209;192209 3;295595;5036324;4620097.01;3;17.29;20.34;16;2;3;2;4620097.01
192218;192218 1;303022;5047763;4620009;2;25.07;27.24;33;1;1;1;4620009.00
192218;192218 2;303022;5047763;4620009;2;29.44;27.24;28;1;1;2;4620009.00
192221;192221 1;301005;5046465;4620014.01;1;21.39;26.84;67;1;4;2;4620014.01
192229;192229 1;303451;5050815;4620005;2;19.11;22.88;67;1;4;1;4620005.00
192229;192229 2;303451;5050815;4620005;2;17.99;22.88;67;2;4;2;4620005.00
192284;192284 1;303868;5049958;4620008;3;26.81;24.39;46;1;1;2;4620008.00
192284;192284 2;303868;5049958;4620008;3;23.96;24.39;38;2;1;1;4620008.00
192284;192284 3;303868;5049958;4620008;3;23.6;24.39;7;5;3;1;4620008.00
192287;192287 1;297632;5034063;4620090;2;29.87;28.63;41;1;7;2;4620090.00
192287;192287 2;297632;5034063;4620090;2;37.56;28.63;13;5;3;1;4620090.00
192290;192290 1;301767;5046153;4620017;5;19.62;25.56;30;1;1;2;4620017.00
192290;192290 2;301767;5046153;4620017;5;32.58;25.56;36;1;1;1;4620017.00
192290;192290 3;301767;5046153;4620017;5;25.43;25.56;5;5;3;1;4620017.00
192290;192290 4;301767;5046153;4620017;5;23.96;25.56;2;5;6;1;4620017.00
192290;192290 5;301767;5046153;4620017;5;23.96;25.56;2;5;6;1;4620017.00
192295;192295 1;298222;5044296;4620177;1;23.15;27.55;57;1;1;2;4620177.00
192304;192304 1;298540;5047548;4620198;4;20.25;21.34;38;1;2;2;4620198.00
192304;192304 2;298540;5047548;4620198;4;21.24;21.34;37;1;2;1;4620198.00
192304;192304 3;298540;5047548;4620198;4;26.3;21.34;10;5;3;1;4620198.00
192304;192304 4;298540;5047548;4620198;4;20.18;21.34;5;5;3;2;4620198.00
192305;192305 1;300872;5045380;4620029;1;28.09;26.84;80;2;4;2;4620029.00
192306;192306 1;303353;5050536;4620006;1;23.27;25.82;51;2;2;1;4620006.00
192315;192315 1;292584;5046620;4620271;2;20.07;19.01;41;1;2;2;4620271.00
192315;192315 2;292584;5046620;4620271;2;16.63;19.01;50;1;1;1;4620271.00
192328;192328 1;299875;5045469;4620187.02;1;24.42;24.69;84;2;4;2;4620187.02
192340;192340 1;298163;5047260;4620200;1;23.73;27.03;54;2;4;1;4620200.00
192352;192352 1;293226;5044311;4620267;1;32.94;29.31;88;2;4;2;4620267.00
192359;192359 1;302585;5051085;4620007;2;24.41;22.88;84;1;4;1;4620007.00
192359;192359 2;302585;5051085;4620007;2;26.19;22.88;81;1;4;2;4620007.00
192362;192362 1;303019;5050514;4620007;2;26.2;22.89;75;2;4;2;4620007.00
192362;192362 2;303019;5050514;4620007;2;32.97;22.89;42;2;1;1;4620007.00
192370;192370 1;297315;5044845;4620208;1;24.53;28.18;63;2;4;2;4620208.00
192437;192437 1;294851;5045009;4620236;3;25.2;21.41;46;2;2;2;4620236.00
192437;192437 2;294851;5045009;4620236;3;25.4;21.41;49;1;1;1;4620236.00
192437;192437 3;294851;5045009;4620236;3;26.27;21.41;9;5;3;1;4620236.00
192470;192470 1;294082;5042032;4620400;2;25.37;26.82;34;1;1;1;4620400.00
192470;192470 2;294082;5042032;4620400;2;27.8;26.82;32;1;1;2;4620400.00
192486;192486 1;301658;5045229;4620025;1;31.62;33.16;27;1;3;2;4620025.00
192490;192490 1;300576;5048250;4620190.02;1;24.42;24.69;75;1;4;2;4620190.02
192491;192491 1;297080;5045423;4620206;3;34.48;26.21;23;2;3;1;4620206.00
192491;192491 2;297080;5045423;4620206;3;29.17;26.21;55;1;1;1;4620206.00
192491;192491 3;297080;5045423;4620206;3;22.57;26.21;55;2;1;2;4620206.00
192525;192525 1;294774;5044891;4620236;1;26.85;28.18;59;2;1;2;4620236.00
192527;192527 1;298670;5046940;4620199;1;28.24;27.03;48;1;1;1;4620199.00
192532;192532 1;295635;5047554;4620257;1;21.63;21.16;75;2;4;2;4620257.00
192553;192553 1;295979;5046012;4620241;2;38.97;29.66;20;1;3;1;4620241.00
192553;192553 2;295979;5046012;4620241;2;26.92;29.66;53;1;1;1;4620241.00
192558;192558 1;301880;5050584;4620192;1;25.59;25.82;59;1;1;1;4620192.00
192561;192561 1;303147;5048846;4620009;4;23.75;24.17;35;1;1;1;4620009.00
