idFeuillet;lng;lat;SRIDU;mtmx;mtmy;popLogi;facteurLogement;popPonderee;1kmCountBIXIstops;500mCountBIXIstops;1kmCountBIXIcapacity;500mCountBIXIcapacity;1kmCountAMTstops;500mCountAMTstops;1kmCountAMTcountStopTimes;500mCountAMTcountStopTimes;1kmCountSTMstops;500mCountSTMstops;1kmCountSTMcountStopTimes;500mCountSTMcountStopTimes;1kmCountSTMcountStopTimesSemaine;500mCountSTMcountStopTimesSemaine;1kmCountSTMcountStopTimesSamedi;500mCountSTMcountStopTimesSamedi;1kmCountSTMcountStopTimesDimanche;500mCountSTMcountStopTimesDimanche
48479;-73.6259919;45.58197174;4620259.00;294968;5049126;3;27.29;81.9;0;0;0;0;1;1;16;16;55;14;32021;12037;9627;3730;5880;2180;4946;1797
32761;-73.6342281;45.51593241;4620400.00;294313;5041788;3;26.95;80.9;1;0;15;0;2;1;244;122;68;15;38539;5838;8659;1178;7770;1186;7090;1158
158725;-73.63291275;45.49545353;4620117.00;294412;5039512;2;30.37;60.7;6;3;94;43;0;0;0;0;106;23;76556;11100;19010;2766;15198;2136;13494;2066
202543;-73.60433273;45.55282999;4620249.00;296654;5045885;6;29.17;175;14;5;200;75;0;0;0;0;133;29;68305;12817;15964;2559;13596;2636;12403;2538
131591;-73.63675439;45.57072947;4620263.00;294126;5047878;1;23.45;23.5;0;0;0;0;0;0;0;0;60;22;39107;10079;12511;3727;6872;1639;5900;1419
46726;-73.65180433;45.51688223;4620403.00;292940;5041896;2;17.02;34;0;0;0;0;1;0;122;0;61;9;31159;3637;7499;909;6041;687;5481;649
109324;-73.5815794;45.56597709;4620200.00;298432;5047344;1;24.69;24.7;7;2;133;30;0;0;0;0;101;24;84344;17846;21494;4498;17201;3652;14387;3070
116511;-73.6591054;45.45966912;4620381.00;292357;5035539;1;30.67;30.7;0;0;0;0;0;0;0;0;63;26;33781;9970;8825;2665;6641;1970;5967;1711
36277;-73.57643117;45.56724941;4620198.00;298834;5047485;2;28.09;56.2;7;3;133;45;0;0;0;0;92;10;72810;9361;18913;2741;14758;1955;12409;1555
44149;-73.59311619;45.46158667;4620087.00;297518;5035744;3;18.44;55.3;4;2;64;34;0;0;0;0;81;23;36936;9079;7973;2057;7378;1754;7195;1756
147612;-73.72446296;45.53166391;4620287.01;287268;5043552;2;19.01;38;0;0;0;0;0;0;0;0;48;20;28588;11840;7789;3222;5544;2307;4689;1947
101321;-73.69096075;45.53643998;4620283.02;289886;5044076;2;28.72;57.4;0;0;0;0;1;0;106;0;62;13;34561;8338;8884;1988;6945;1782;6072;1516
37763;-73.59705715;45.47795163;4620350.00;297212;5037563;1;25.6;25.6;7;2;69;26;1;0;80;0;95;21;79757;17586;19423;4282;16203;3523;13865;2991
74861;-73.66707254;45.53789016;4620268.01;291752;5044233;5;26.39;132;0;0;0;0;3;1;68;16;84;27;48717;15525;13323;3783;9349;3059;8325;2761
87021;-73.56978278;45.55737349;4620185.00;299352;5046387;2;19.94;39.9;8;2;146;34;0;0;0;0;94;23;66292;16140;16794;3864;12973;3185;11288;2799
113773;-73.63315234;45.48853344;4620113.00;294392;5038743;2;30.37;60.7;4;1;62;5;0;0;0;0;114;26;68595;11052;17256;2520;13560;2160;12245;2124
17363;-73.68822954;45.53142342;4620283.01;290098;5043518;2;28.72;57.4;0;0;0;0;1;1;106;106;73;2;34921;270;8745;93;7060;46;6272;41
93534;-73.54355681;45.54935997;4620026.00;301399;5045495;1;26.2;26.2;12;3;223;61;0;0;0;0;117;30;63201;17551;14644;4070;12623;3525;11270;3046
191502;-73.58962404;45.45272594;4620089.00;297790;5034759;3;30.73;92.2;3;0;49;0;0;0;0;0;76;20;33916;7312;7863;1648;6811;1464;6414;1400
193084;-73.51242194;45.60334849;4620001.00;303831;5051494;2;28.95;57.9;0;0;0;0;0;0;0;0;55;18;33671;9084;7776;2090;6615;1784;6352;1722
68579;-73.58477322;45.53450751;4620175.00;298179;5043847;1;27.55;27.6;35;12;656;245;0;0;0;0;119;25;65865;12586;17153;3221;12785;2365;11675;2272
47946;-73.60071435;45.47739956;4620352.00;296926;5037502;5;47.85;239.3;4;3;47;45;1;1;80;80;93;31;73952;27640;18367;6890;14917;5621;12676;4653
271584;-73.5593989;45.54912788;4620187.02;300162;5045470;2;28.09;56.2;15;4;260;64;0;0;0;0;116;34;74756;24188;17883;5701;14813;4896;13150;4230
175373;-73.63115216;45.48111203;4620110.00;294547;5037918;2;30.37;60.7;4;1;60;19;0;0;0;0;108;37;68584;22837;16948;5692;13823;4634;12000;3897
15386;-73.65390196;45.57264229;4620276.00;292788;5048093;4;26.39;105.6;1;0;15;0;0;0;0;0;67;27;46105;19321;13259;5148;8469;3663;7489;3256
123643;-73.59723813;45.51623084;4620363.00;297203;5041817;2;19.22;38.4;17;2;312;30;0;0;0;0;69;21;59081;19496;15381;5385;11908;3729;10381;3361
56162;-73.51603539;45.59773311;4620005.00;303549;5050870;1;28.63;28.6;0;0;0;0;0;0;0;0;62;21;40534;11421;9385;2612;7901;2249;7710;2160
250241;-73.6256532;45.49901613;4620127.01;294980;5039907;3;31.1;93.3;8;3;170;43;0;0;0;0;97;29;85197;27806;21658;7028;16913;5532;14784;4726
82523;-73.57873528;45.54755047;4620182.00;298652;5045296;1;27.03;27;18;7;308;140;0;0;0;0;106;24;58058;10768;14600;2644;11249;2073;10243;1965
73173;-73.55260754;45.54521692;4620031.00;300692;5045035;1;26.2;26.2;13;4;225;66;0;0;0;0;110;29;66715;16449;15825;3638;13309;3278;11895;3037
