idFeuillet,lng,lat,SRIDU,mtmx,mtmy,popLogi,facteurLogement,popPonderee
13477,-73.5953788315,45.4535941311,4620092.00,297340,5034856,1,25.18,25.2
13502,-73.5402549768,45.6065004642,4620193.00,301660,5051845,4,28.69,114.8
13514,-73.5479450716,45.5590584361,4620014.01,301057,5046573,3,22.09,66.3
13518,-73.5317604393,45.5929247411,4620007.00,302322,5050336,2,20.63,41.3
13524,-73.568152341,45.5225057845,4620144.00,299476,5042512,1,27.55,27.6
13526,-73.5419929965,45.5475428901,4620025.00,301521,5045293,3,20.25,60.8
13533,-73.6271517374,45.5223923599,4620400.00,294867,5042505,2,26.25,52.5
13545,-73.5840121862,45.5221352854,4620139.00,298237,5042472,2,17.86,35.7
13550,-73.6311636637,45.5466744537,4620238.00,294558,5045204,2,19.57,39.1
13558,-73.5316628931,45.6017970733,4620004.00,302330,5051322,2,20.63,41.3
13576,-73.6412551947,45.5671426553,4620263.00,293774,5047480,1,23.45,23.5
13584,-73.6015691346,45.4761750065,4620352.00,296859,5037366,1,24.59,24.6
13588,-73.5806965356,45.5667335723,4620200.00,298501,5047428,4,21.3,85.2
13589,-73.6184999394,45.5170746073,4620367.00,295542,5041913,3,21.59,64.8
13618,-73.6086299893,45.549622571,4620242.00,296318,5045529,2,22.37,44.7
13622,-73.5725735498,45.5362525992,4620155.00,299132,5044040,4,15.39,61.6
13660,-73.6358921878,45.4894030647,4620112.02,294178,5038840,5,34.4,172.0
13665,-73.6222446613,45.5085761574,4620124.00,295248,5040969,3,31.1,93.3
13675,-73.6226268516,45.4782959777,4620106.00,295213,5037604,2,29.34,58.7
13688,-73.5380306634,45.577985648,4620012.02,301832,5048676,2,22.88,45.8
13704,-73.5219590305,45.5692075088,4620009.00,303086,5047700,2,22.88,45.8
13705,-73.5690309507,45.5814714637,4620195.01,299413,5049065,3,26.25,78.8
13710,-73.5117155081,45.5967798214,4620005.00,303886,5050764,2,28.95,57.9
13723,-73.5657301458,45.5310826723,4620149.00,299666,5043465,3,28.4,85.2
13775,-73.6639845519,45.5503753713,4620279.00,291996,5045620,2,19.01,38.0
13798,-73.5127809518,45.6036633887,4620001.00,303803,5051529,2,20.63,41.3
13807,-73.5784014591,45.556153125,4620201.00,298679,5046252,1,27.03,27.0
