stop_id,mtmx,mtmy,lat,lng,wheelchair,SRIDU,stop_name,countStopTimes,countStopTimesSemaine,countStopTimesSamedi,countStopTimesDimanche
104353,292977.12,5046612.88,45.559327,-73.651443,1,4620263.00,Christophe-Colomb / Sauvé,397,85,80,74
104354,292992.31,5046591.85,45.559138,-73.651248,1,4620263.00,Sauvé / Christophe-Colomb,902,246,169,149
104361,292874.69,5039418.21,45.494585,-73.65258,1,4620118.00,Station Namur (Décarie / Jean-Talon),390,88,74,76
104362,292860.67,5039446.90,45.494843,-73.65276,1,4620119.00,Station Namur (Jean-Talon / Décarie),646,132,130,128
104363,292789.89,5039381.25,45.494251,-73.653664,1,4620119.00,Station Namur (Décarie / Jean-Talon),438,94,86,86
104365,292930.56,5039495.78,45.495284,-73.651867,1,4620119.00,Jean-Talon / Mountain Sights,50,10,10,10
104366,292783.78,5039493.28,45.495259,-73.653745,1,4620119.00,Station Namur (Décarie / Jean-Talon),770,168,152,150
104372,292962.23,5044181.12,45.537445,-73.651575,1,4620223.01,Legendre / du Parc,412,100,80,74
104374,292962.88,5044154.45,45.537205,-73.651566,2,4620223.01,Legendre / du Parc,402,82,82,76
104402,293066.73,5049394.13,45.584355,-73.650362,1,4620275.00,Henri-Bourassa / Saint-Michel,2141,584,411,358
104404,293073.26,5049296.76,45.583479,-73.650276,1,4620275.00,Henri-Bourassa / Poitras,775,225,143,123
104405,293101.53,5049393.28,45.584348,-73.649916,1,4620275.00,Henri-Bourassa / Saint-Michel,2177,601,420,368
104411,293067.87,5047460.65,45.566957,-73.650301,1,4620263.00,Papineau / Sauriol,680,250,110,100
104413,293035.77,5047451.26,45.566872,-73.650712,1,4620263.00,Papineau / Sauriol,691,258,110,99
104421,293022.19,5044960.04,45.544455,-73.650826,1,4620270.00,Saint-Laurent / Chabanel,544,196,104,80
104423,292979.23,5044957.68,45.544433,-73.651376,1,4620270.00,Saint-Laurent / Chabanel,1113,349,211,183
