SRIDU;1kmCountBIXIstops;500mCountBIXIstops;1kmCountBIXIcapacity;500mCountBIXIcapacity;1kmCountAMTstops;500mCountAMTstops;1kmCountAMTcountStopTimes;500mCountAMTcountStopTimes;1kmCountSTMstops;500mCountSTMstops;1kmCountSTMcountStopTimes;500mCountSTMcountStopTimes;1kmCountSTMcountStopTimesSemaine;500mCountSTMcountStopTimesSemaine;1kmCountSTMcountStopTimesSamedi;500mCountSTMcountStopTimesSamedi;1kmCountSTMcountStopTimesDimanche;500mCountSTMcountStopTimesDimanche;age;permis;pop;hommes;femmes;statut_1;statut_2;statut_3;statut_4;statut_5;statut_6;statut_7;statut_8
4620264.01;2.7;0.4;28.4;1.8;0.1;0.0;0.5;0.0;64.4;13.4;29710.8;5336.9;8900.0;1547.8;5389.9;969.1;4849.7;889.3;46.8;0.263;6711.299999999996;3178.569999999999;3532.7300000000014;2260.46;267.90999999999997;1333.0700000000004;2288.34;21.25;200.46999999999997;339.80000000000007;0
4620120.00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.9;18.3;32185.5;7012.3;7407.7;1533.7;6455.5;1430.4;5967.9;1342.8;40.1;0.199;2922.1399999999994;1282.0900000000001;1640.0499999999995;1180.0100000000002;160.39;751.5000000000001;509.25000000000006;32.45;76.36;212.17999999999998;0
4620203.00;17.7;5.3;260.7;80.6;0.0;0.0;0.0;0.0;117.6;21.1;72437.5;11873.6;17909.9;2802.0;14642.0;2467.3;12803.6;2184.1;37.3;0.174;2452.670000000001;1160.4199999999998;1292.25;1203.3399999999997;64.49000000000001;472.84999999999997;295.64000000000004;196.1;123.43999999999998;96.81;0
4620125.00;6.6;1.5;127.3;22.1;0.7;0.1;90.3;10.6;83.0;19.2;54294.8;11656.3;13562.5;3009.6;10722.2;2263.3;9937.1;2123.2;44.2;0.207;7125.200000000001;3375.459999999999;3749.7400000000043;1887.9699999999996;424.66999999999996;1934.9399999999998;2173.010000000002;0;305.88;398.73;0
4620112.02;3.9;1.2;59.5;12.3;0.0;0.0;0.0;0.0;110.1;31.4;62986.4;15567.3;15691.7;3895.7;12395.6;2976.4;11405.1;2892.9;45.1;0.573;3025.0100000000007;1239.7700000000002;1785.240000000001;950.7499999999999;228.49999999999997;483.29999999999995;855.7899999999998;258.75;89.23;158.69;0
4620127.01;7.2;2.8;149.3;57.1;0.0;0.0;0.0;0.0;82.0;26.6;76745.9;26519.5;19368.3;6711.3;15264.5;5306.3;13337.2;4549.0;40.1;0.332;7502.139999999999;3252.010000000002;4250.130000000003;2406.4700000000003;427.55999999999995;2375.7600000000007;1610.8300000000013;182.48999999999998;307.45;191.57999999999998;0
4620382.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.5;20.2;40406.4;12033.1;10502.8;3072.4;7755.5;2304.7;7338.8;2215.8;52.9;0.228;2691.93;1119.8300000000002;1572.099999999999;669.27;143.23000000000002;425.46000000000004;1166.4399999999996;86.94999999999999;84.16999999999999;116.41;0
4620190.02;3.2;0.4;72.5;7.4;0.0;0.0;0.0;0.0;73.2;19.0;38530.1;9172.9;10074.4;2301.9;7534.0;1779.0;6855.7;1668.2;57.2;0.247;5241.320000000003;2152.3899999999985;3088.930000000002;1059.2300000000002;153.58999999999997;817.5999999999999;2977.0400000000013;39.05;94.45000000000002;100.36000000000001;0
4620223.02;0.3;0.0;4.2;0.0;0.0;0.0;0.0;0.0;79.4;22.9;41319.6;17770.8;11029.9;4595.0;7897.5;3473.3;7054.8;3068.2;38.6;0.34;2174.120000000001;1059.5300000000002;1114.5899999999997;535.45;93.09;533.99;370.30000000000007;172.51999999999998;187.94;280.83;0
4620140.00;46.4;11.0;822.1;197.0;0.0;0.0;0.0;0.0;121.8;37.1;73080.9;22961.4;18275.7;5367.0;14887.4;4708.6;13092.5;4242.7;44.3;0.186;1381.6900000000005;590.77;790.92;595.47;146.91;255.79000000000002;257.53000000000003;83.86;42.13;0;0
4620244.00;21.5;4.9;301.3;64.4;0.0;0.0;0.0;0.0;134.2;23.4;59061.9;8200.0;13704.0;1900.7;11881.0;1611.6;10854.5;1531.1;33.7;0.296;2613.369999999999;1123.9500000000003;1489.42;1247.99;113.79000000000002;527.41;313.56;25.58;157.87;227.17;0
4620249.00;13.6;3.4;192.5;53.0;0.0;0.0;0.0;0.0;131.5;33.2;68846.0;14766.2;16461.2;3147.5;13682.6;2989.0;12375.3;2838.9;42.9;0.268;8904.580000000007;4400.240000000001;4504.339999999999;3856.6099999999974;563.3100000000001;1829.02;2004.0200000000013;210.94;235.46;205.22;0
4620077.00;24.2;5.4;398.8;95.1;1.0;0.1;84.0;9.6;104.5;14.1;61916.3;5925.7;14606.2;1308.6;12441.4;1245.8;11393.6;1121.3;38.5;0.24;2018.4100000000003;858.2099999999998;1160.1999999999998;859.8699999999997;97.29;374.67;324.70000000000005;49.019999999999996;176.39999999999998;136.46;0
4620003.00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.4;12.7;51086.3;10215.1;11974.1;2464.7;10185.1;1999.7;9416.5;1887.3;40.2;0.227;6204.34;2809.5499999999993;3394.7899999999986;2693.33;234.51000000000005;1217.1000000000001;1280.7400000000005;309.35999999999996;257.54;211.76000000000002;0
4620241.00;8.2;2.2;106.9;20.6;0.0;0.0;0.0;0.0;112.8;39.7;52544.1;20453.7;12731.9;5034.7;10234.5;3975.8;9423.3;3606.9;38.5;0.291;2641.47;1440.75;1200.7199999999993;931.6299999999998;256.83;529.2800000000001;347.29;125.52;154.49;296.43;0
4620352.00;4.8;2.0;54.5;27.9;1.0;0.5;78.5;36.5;91.8;27.6;73912.5;24245.5;18357.4;6148.3;14926.5;4909.6;12662.1;4011.9;38.9;0.232;4079.229999999999;2000.7800000000002;2078.45;1840.9399999999994;229.09;1031.0499999999997;625.5300000000002;0;207.84;144.78;0
4620190.01;3.6;0.5;77.4;11.6;0.0;0.0;0.0;0.0;90.6;19.9;50337.6;10849.9;13161.5;2881.2;9856.8;2106.0;8859.2;1915.5;46.1;0.253;3823.2899999999995;1783.989999999999;2039.3000000000004;1641.7599999999998;75.85;678.16;1034.2299999999998;90.5;106.61;196.17999999999998;0
